NAME,YEAR,MONTH,DSI,Garden land without Road Access,Garden land with Road Access,Wet Land,Rocky Land,Residential Plot with Private Road Access,Residential Plot with NH/PWD Road Acess,Commercially Important Plot
Alakode,2025,1,0.7585016557267519,57740.50710248637,67378.39240639113,49341.31469583395,31261.66996795642,59896.24558895868,62158.826887669864,155484.08957681738
Arakkulam,2025,1,0.7425761229050273,38723.27823546857,56085.62765721231,32830.00546147043,25090.760412297317,64429.610213842614,62726.90103074329,196563.76676637077
Elappally,2025,1,0.7641403338746031,9397.835002964872,20937.573943947653,14250.8345380799,6196.015016556478,16349.047951574199,61960.15016556479,36419.44732474033
Kanjikuzhy,2025,1,0.7335393761418165,24715.863545804386,34291.227181872186,33001.144605855145,16979.151323062924,60758.72777370556,63053.88934589619,174238.21361304395
Karimkunnam,2025,1,0.8314883531440584,23394.045939985233,44904.53636727611,31236.225736184173,23872.69344352797,57509.31850545888,59681.73360881992,164919.86072873633
Karimannoor,2025,1,0.796826768736249,23845.327450310946,33083.42997238917,31838.78636905899,96359.50477394903,58618.698737485654,60833.020690624384,57333.90534049967
Kodikkulam,2025,1,0.7465152230307733,24532.235452061137,34036.45830973246,32755.960484973104,33045.105155080055,60307.316908021094,62585.42643007586,172943.6996275747
Kudayathoor,2025,1,0.7610046371061572,16386.606254155166,22345.373406166607,32486.446898862614,1862.1143470630868,59811.11282766635,62070.47823543623,171520.73183814826
Kumaramangalam,2025,1,0.8323940506577269,19921.460305384164,22071.326844508745,31220.78660507834,23860.8938859554,57480.89337126656,59652.2347148885,787409.4982365281
Manakkad,2025,1,0.833899784253029,23363.284646140954,32414.63524148502,31195.152604972838,23841.302766611512,57433.69836476714,59603.256916528786,164703.00434101917
Muttom,2025,1,0.8370358282789807,23323.40067212517,32359.29950897636,31141.898677934776,23800.60275741127,57335.652042603746,59501.506893528174,164421.83624137257
Purapuzha,2025,1,0.8342917254021689,23358.292510754265,32407.70906436196,31188.487000047367,23836.208490998793,57421.42625481609,59590.521227496974,180275.8932585493
Udumbannoor,2025,1,0.7310684690081669,24751.1426838876,34340.17408338546,33048.250058403726,25257.55669563508,60845.45407978491,63143.8917390877,174486.91922618324
Vannappuram,2025,1,0.7494933339947527,24490.4749503484,33978.51904943486,32700.200978400295,18118.877839688346,60204.6575390472,62478.8891023736,172649.30266246258
Velliyamattom,2025,1,0.7608112775166171,24333.057846169806,33760.11576881725,32490.014326058354,24830.917746997096,59817.680852516016,62077.294367492745,171539.56700732812
Keerikode,2025,1,0.8301545538752202,26876.353090425186,32480.968588215183,31258.990401037187,66223.33401480765,57551.2307509638,59725.22908983374,165040.05275797838
